loc_id,ship-state,ship-city,ship-postal-code
12135,HIMACHAL PRADESH,YOI CANTT,176052
12136,KARNATAKA,BANGALORE,560104
12137,MADHYA PRADESH,INDORE,453111
12138,TAMIL NADU,MOHANUR,637015
12139,MAHARASHTRA,PUNE CITY,411015
12140,ANDHRA PRADESH,KOTHAVALASA,535183
12141,TAMIL NADU,THIRVALLUR DISTRICT,602024
12142,ANDHRA PRADESH,"RAJAHMUNDRY, EAST GODAVARI DISTRICT",533103
12143,UTTAR PRADESH,"GOVINDPURAM, GHAZIABAD",201013
12144,KERALA,TRICHUR,680566
12145,KARNATAKA,MANGALURU,574150
12146,MAHARASHTRA,"NEW PANVEL, NAVI MUMBAI",410206
12147,TELANGANA,RANGAREDDY,500058
12148,KARNATAKA,"ELECTRONIC CITY PHASE-1, BANGALORE",560100
12149,MAHARASHTRA,KALAYN,421202
12150,ODISHA,BHUBANESWARB,751015
12151,ANDHRA PRADESH,KAMALAPURAM,516289
12152,UTTAR PRADESH,KASHGANJ,207243
12153,HARYANA,BARWALA,125121
12154,KERALA,"THRIPPUNITHURA , KOCHI",682309
12155,CHHATTISGARH,GARAWAND,494661
12156,TAMIL NADU,SULAKKARAI MEDU,626003
12157,BIHAR,MUZAFFARPUR,844120
12158,DELHI,SOUTH EAST DELHI,110076
12159,HIMACHAL PRADESH,JAWALAMUKHI,176031
12160,KERALA,PALAKKAD,678581
12161,RAJASTHAN,JHALAWAR,326513
12162,KARNATAKA,MANGALURU,575011
12163,MAHARASHTRA,RAHATA,423107
12164,UTTAR PRADESH,ETAWAH,206253
12165,KERALA,VENJARAMOODU,695607
12166,MAHARASHTRA,KARANJA,444110
12167,PUNJAB,BHISIANA,151201
12168,HIMACHAL PRADESH,MANALI,175136
12169,MAHARASHTRA,TALUKA KALYAN DISTRICT THANE,421204
12170,WEST BENGAL,SERAMPORE,712204
12171,BIHAR,NAWADA,805130
12172,UTTARAKHAND,SITARGANJ,263151
12173,ASSAM,JORHAT,785634
12174,ANDHRA PRADESH,SOMANDEPALLE,515122
12175,TRIPURA,GAKULPUR,799120
12176,KERALA,KOCHI,682304
12177,WEST BENGAL,HOWRAH,711310
12178,ANDHRA PRADESH,VIZIANAGARAM,535525
12179,PUNJAB,GREATER MOHALI,140301
12180,KERALA,NORTH PAROOR,683513
12181,MAHARASHTRA,MUMBAI,400610
12182,NEW DELHI,NEW DELHI,110089
12183,TAMIL NADU,TRICHY,621005
12184,TAMIL NADU,TRICHY,620022
12185,TAMIL NADU,KANCHIPURAM,603112
12186,KERALA,THAZHUTHALA,691589
12187,MAHARASHTRA,NARAYANGAON,410504
12188,WEST BENGAL,KOLAGHAT,721171
12189,ANDHRA PRADESH,TIRUPATI,517505
12190,HIMACHAL PRADESH,DERA GOPIPUR,177101
12191,GOA,MAPUSA - NACHINOLA,403507
12192,PUNJAB,BASSI PATHANA,140412
12193,KERALA,MADAYI,670304
12194,KERALA,ALAPPUZHA,690504
12195,GUJARAT,PREMGADH TA. JETPUR,360370
12196,MAHARASHTRA,"POWAI, MUMBAI",400072
12197,KERALA,CALICUT DIST,673309
12198,GOA,SOUTH - GOA,403707
12199,MADHYA PRADESH,ICHHAWAR,466115
12200,MAHARASHTRA,MUMBAI'S,400076
12201,WEST BENGAL,CHANCHAL,732139
12202,KARNATAKA,HAVERI,581115
12203,MADHYA PRADESH,"JABALPUR, MADHYA PRADESH",482001
12204,MAHARASHTRA,VASAI ROAD,401208
12205,TAMIL NADU,ARIYALUR D.T,621715
12206,ANDHRA PRADESH,VISAKHAPATANAM,531163
12207,MAHARASHTRA,HINGNA/NAGPUR,441110
12208,TAMIL NADU,VEERAVANALLUR,627426
12209,MAHARASHTRA,SAPHALE,401102
12210,TAMIL NADU,VANAVASI,636457
12211,BIHAR,"KAHALGAON, BHAGALPUR",813214
12212,WEST BENGAL,CHAMRAIL,711114
12213,BIHAR,DEHRI ON SONE,821307
12214,GUJARAT,UMARGAM,396165
12215,BIHAR,KATIHAR,854113
12216,KARNATAKA,BELLARY,583275
12217,ANDHRA PRADESH,ANIL NEERKONDA HOSPITAL,531162
12218,MAHARASHTRA,BADLAPUR ROAD,421503
12219,KARNATAKA,MUNDARGI,582118
12220,TAMIL NADU,ZIONPURAM,629501
12221,KERALA,EDATHIRUTHY,680687
12222,TAMIL NADU,RAJAPALAYAM,626111
12223,MAHARASHTRA,TROMBAY,400088
12224,KARNATAKA,SHRIRANGAPATTANA,571807
12225,KERALA,ERNAKULAM,683541
12226,KARNATAKA,DERALAKATTE/ MANGALORE,575018
12227,PUNJAB,KAPURTHALA,144819
12228,TELANGANA,SECUNDRABAD,500047
12229,UTTAR PRADESH,BISALPUR,262201
12230,RAJASTHAN,JAIPUR,303007
12231,UTTAR PRADESH,GHAZIABAD,201019
12232,KARNATAKA,BELAGAVI,591213
12233,UTTAR PRADESH,SAHATWAR,277211
12234,UTTAR PRADESH,SONBHADRA,231218
12235,MAHARASHTRA,TASGAON,416408
12236,DELHI,NEW DELHI-59,110059
12237,UTTAR PRADESH,"NOIDA,",201301
12238,KERALA,PATHIPPALAM,670691
12239,UTTAR PRADESH,"GOPIGANJ  ,BHADOHI",221303
12240,MAHARASHTRA,SANGLI,416415
12241,KARNATAKA,BANTVAL,574253
12242,GOA,PENHA DE FRANCA,403521
12243,GUJARAT,KADODARA,394310
12244,MAHARASHTRA,WARDHA,442005
12245,KARNATAKA,HONNALI,577217
12246,KARNATAKA,KARKAL,574102
12247,BIHAR,DARBHNGA,847302
12248,ODISHA,"VAYASANAGAR, JAJPUR ROAD",755019
12249,KARNATAKA,ROBERTSONPET,563117
12250,KERALA,ALAPPUZHA,688524
12251,HIMACHAL PRADESH,KASOL,175105
12252,GUJARAT,JALUNDH KHAMBHAT,388640
12253,GUJARAT,KADODARA,394305
12254,CHHATTISGARH,"BILASPUR,",495004
12255,ASSAM,SIBSAGAR,785701
12256,ODISHA,PATNAGARH,767025
12257,KERALA,"THOTTADA,KANNUR,670007",670007
12258,ANDHRA PRADESH,SAMALKOT,533440
12259,ANDHRA PRADESH,VIZIANAGARAM,535546
12260,ASSAM,BISWANATH,784184
12261,KARNATAKA,MAHALINGPUR,587312
12262,ODISHA,GANJAM,761110
12263,HIMACHAL PRADESH,KANGRA,176092
12264,MAHARASHTRA,MAHAD (RAIGAD ),402305
12265,ODISHA,CUTTACK - 14,753014
12266,BIHAR,KATIHAR,854337
12267,UTTAR PRADESH,GOSAINGANJ FAIZABAD DISTRICT AYODHYA,224141
12268,ANDHRA PRADESH,DARSI,523247
12269,KERALA,TOTTAKKATTUKARA ALUVA,683108
12270,MAHARASHTRA,PUNE 411041,411041
12271,UTTAR PRADESH,SALON,229127
12272,JAMMU & KASHMIR,JAMMU,180009
12273,UTTARAKHAND,HARIDWAR,247670
12274,GUJARAT,AHMADABAD,380001
12275,ASSAM,GUWAHATI,781031
12276,KARNATAKA,BANKAPURA,581202
12277,KERALA,PALAKKAD,680588
12278,ANDHRA PRADESH,SRIKAKULAM,532292
12279,KERALA,CALICUT,673019
12280,KARNATAKA,NELAMANGALA BANGALURU,562123
12281,KARNATAKA,ATHANI,591304
12282,ANDHRA PRADESH,PARVATHIPURAM,535523
12283,MAHARASHTRA,PUNE,412406
12284,CHHATTISGARH,PALARI,493228
12285,ANDHRA PRADESH,CHITTOOR,517417
12286,ASSAM,NAGAON,782137
12287,ASSAM,"TEZPUR, MAJGAON",784154
12288,KERALA,TIRUR,676103
12289,UTTAR PRADESH,ANPARA,231220
12290,MADHYA PRADESH,PORSA,476115
12291,ASSAM,SONITPUR,784001
12292,ANDHRA PRADESH,PAMARRU,533263
12293,RAJASTHAN,JAIPUR,303121
12294,KERALA,KUNNATHUNAD.,682311
12295,HIMACHAL PRADESH,KULLU,175129
12296,UTTARAKHAND,RUDRAPRAYAG,246475
12297,KERALA,KANHANGAD,671316
12298,HIMACHAL PRADESH,DURAH,172033
12299,MIZORAM,FALKAWN,796005
12300,UTTARAKHAND,DEHRADUN,248016
12301,WEST BENGAL,HUTMURA,723148
12302,UTTAR PRADESH,KIRAOLI,283122
12303,UTTAR PRADESH,AZAMGARH,276305
12304,ANDHRA PRADESH,KAKIMADA,533002
12305,KERALA,PUTHANATHANI,676510
12306,KERALA,KOOTHUPARAMBA,670643
12307,JAMMU & KASHMIR,JAMMU,180016
12308,KARNATAKA,KARWAR,581328
12309,KERALA,KOTTAPURAM PO,680584
12310,MAHARASHTRA,PALGHAR( EAST),401404
12311,UTTAR PRADESH,"INDIRAPURAM , GHAZIABAD",201014
12312,TAMIL NADU,THIRUVARUR,612603
12313,RAJASTHAN,JODHPUR,342009
12314,MAHARASHTRA,NALLASOPRA EAST MUMBI,401209
12315,NAGALAND,MOKOKCHUNG,798604
12316,KARNATAKA,CHITRADURGA,577502
12317,HARYANA,SAFIDON,126112
12318,GOA,NORTH GOA,403401
12319,TAMIL NADU,"ALWARPET, CHENNAI",600018
12320,TELANGANA,KARIMANAGAR,504208
12321,ANDHRA PRADESH,CHITTOOR,517192
12322,ANDHRA PRADESH,"DARMAVARAM,ADDANKI",523260
12323,TELANGANA,SANGAREDDY,502296
12324,BIHAR,MADHUBANI,847411
12325,TAMIL NADU,KALLADAIKURICHI,627416
12326,KERALA,THRISSUR,680567
12327,CHHATTISGARH,TUMGAON,493445
12328,MAHARASHTRA,"THANE(W), THANE",400615
12329,TELANGANA,BIKNOOR,503101
12330,UTTARAKHAND,SITARGANJ,262405
12331,TELANGANA,"SRIRAMA COLONY, ARMUR",503224
12332,HARYANA,PANCHKULA,134102
12333,ANDHRA PRADESH,GUNTUR,522510
12334,TAMIL NADU,MANAVALAKURICHI,629252
12335,KERALA,THALASSERY,670641
12336,DELHI,SOUTH-WEST DELHI,110043
12337,KERALA,MANIYUR,673523
12338,GUJARAT,SHEHERA,389210
12339,KERALA,TRIVANDRUM,695010
12340,ODISHA,CHAMPUA,758041
12341,WEST BENGAL,DURGAPUR,713217
12342,KERALA,ALAPPUZHA,688540
12343,KERALA,"EDATHIRUTHY,THRISSUR",680703
12344,ODISHA,ANGUL,759143
12345,KARNATAKA,CHICKBALLAPUR,562104
12346,KERALA,KONGORPILLY,683518
